ID,Gender,Status,Children,Est Income,Car Owner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan,CHURN
1,F,S,1,38000,N,24,23.56,0,206.08,0,CC,Budget,Intnl_discount,229.64,3,T
6,M,M,2,29616,N,49,29.78,0,45.5,0,CH,FreeLocal,Standard,75.29,2,T
8,M,M,0,19732.8,N,51,24.81,0,22.44,0,CC,FreeLocal,Standard,47.25,3,T
11,M,S,2,96.33,N,56,26.13,0,32.88,1,CC,Budget,Standard,59.01,1,T
14,F,M,2,52004.8,N,25,5.03,0,23.11,0,CH,Budget,Intnl_discount,28.14,1,T
17,M,M,2,53010.8,N,19,12.45,0,46.42,4,CC,FreeLocal,Standard,58.87,1,T
18,M,M,1,75004.5,N,65,26.52,0,32.19,0,CC,Budget,Intnl_discount,58.72,1,T
21,M,M,0,19749.3,N,60,20.22,0,13.94,0,CC,Budget,Standard,34.17,3,T
22,M,S,1,57626.9,Y,44,9.38,0,38.96,0,CC,Budget,Standard,48.35,2,T
23,M,M,2,20078,N,33,9.65,0,6.33,0,CC,Budget,Intnl_discount,15.98,4,T
24,F,M,2,47902,N,26,17.44,4.94,49.92,1,Auto,FreeLocal,Standard,72.31,2,T
29,M,M,1,7545.96,Y,17,22.39,0,178.36,0,CC,Budget,Standard,200.75,3,T
35,F,S,0,78851.3,N,48,0.37,0,28.66,0,CC,FreeLocal,Standard,29.04,4,T
36,F,S,1,17540.7,Y,63,22.17,0.57,13.45,0,Auto,Budget,Standard,36.2,4,T
37,F,M,0,83891.9,Y,61,28.92,0,45.47,0,CH,Budget,Standard,74.4,4,T
38,F,M,2,28220.8,N,39,26.49,0,12.46,0,CC,FreeLocal,Standard,38.95,4,T
40,F,S,0,28589.1,N,16,13.19,0,87.09,0,CC,FreeLocal,Standard,100.28,4,T
42,F,M,2,5237.63,N,49,13.32,8.05,56.64,0,CC,Budget,Standard,78.02,2,T
45,M,S,2,89459.9,N,53,11.54,1.61,22.9,0,CC,FreeLocal,Standard,36.05,2,T
48,F,S,1,13576.5,N,39,14.83,0,25.66,0,CC,Budget,Standard,40.49,1,T
52,F,M,2,67388,N,53,4.79,0.5,91.04,1,CC,Budget,Standard,96.33,3,T
53,F,M,1,57063,Y,52,16.79,0,81.3,0,CH,Budget,Standard,98.1,4,T
54,F,M,2,84166.1,N,54,3.28,0,11.74,1,CC,Budget,Standard,15.02,2,T
60,F,S,1,7737.94,N,43,11.05,0,50.84,0,CC,FreeLocal,Standard,61.9,4,T
61,M,S,2,100020,N,50,21.37,0,293.24,0,CH,Budget,Standard,314.62,4,T
62,F,M,2,45287.6,Y,29,0,0,2.97,0,CC,Budget,Standard,2.97,3,T
63,F,M,2,59613.1,N,34,12.37,0,163.41,0,CC,Budget,Intnl_discount,175.78,1,T
65,F,S,1,16326.7,N,51,0,0,1.34,0,CC,FreeLocal,Intnl_discount,1.34,1,T
68,F,S,2,9559.78,N,51,18.31,0,59.59,0,CC,FreeLocal,Standard,77.91,3,T
71,F,M,2,42031.8,N,51,20.45,0,39.33,0,CH,Budget,Intnl_discount,59.78,4,T
73,F,M,2,83284.1,Y,28,26.91,0,9.04,0,Auto,FreeLocal,Intnl_discount,35.96,4,T
74,M,M,1,39229.1,N,26,28.82,4.74,13.53,0,CC,Budget,Intnl_discount,47.1,4,T
75,F,S,0,68427.4,N,42,23.76,0,50.05,0,Auto,FreeLocal,Standard,73.81,3,T
77,M,S,0,3601.71,N,49,9.57,4.19,111.84,0,Auto,Budget,Intnl_discount,125.6,4,T
78,F,M,0,72642.6,N,28,18.66,0,20.34,0,CH,FreeLocal,Intnl_discount,39,4,T
79,F,S,0,98716.3,N,56,20.97,8.23,13.92,0,CC,FreeLocal,Standard,43.13,4,T
80,F,S,2,66182.7,Y,62,11.7,0,47.17,0,Auto,Budget,Standard,58.87,2,T
81,F,M,2,84789.3,N,50,14.22,8.8,10.45,0,CH,FreeLocal,Standard,33.47,4,T
83,F,M,2,35976.5,Y,49,18.85,0,31.78,0,Auto,FreeLocal,Intnl_discount,50.63,4,T
84,F,M,0,32703.1,Y,65,16.8,0,56.09,0,CC,Budget,Intnl_discount,72.89,4,T
85,F,M,1,77129.1,Y,62,24.77,0,20.07,0,CH,FreeLocal,Intnl_discount,44.85,4,T
86,F,M,2,8204.72,N,53,15.59,0,24.19,0,CH,FreeLocal,Standard,39.79,3,T
87,M,M,1,97180.4,N,51,8.21,9.63,45.66,0,CC,FreeLocal,Standard,63.51,4,T
88,F,M,0,80405.1,N,60,2.91,8.95,17.11,0,CC,FreeLocal,Standard,28.98,4,T
89,F,S,2,38280,N,34,11.64,0,74.97,0,Auto,FreeLocal,Intnl_discount,86.61,4,T
90,M,S,0,64136.6,Y,61,16.21,1,125.15,0,CC,FreeLocal,Intnl_discount,142.37,2,T
92,F,M,2,45429.7,Y,62,24.7,0,73.04,0,CH,FreeLocal,Standard,97.74,2,T
94,F,S,0,25285.5,N,54,9.37,0,11.93,0,CC,FreeLocal,Standard,21.3,1,T
95,F,M,2,77551.1,Y,34,20.53,0,41.89,1,CC,Budget,Intnl_discount,62.42,2,T
96,F,M,0,38538.4,N,12,22.86,8.32,16.48,0,CC,FreeLocal,Standard,47.66,3,T
97,F,S,0,69350.5,Y,57,1.9,0,25.95,0,CC,FreeLocal,Standard,27.86,4,T
104,M,S,2,43634.5,N,22,29.44,9.42,104.64,0,CC,Budget,Standard,143.5,1,T
108,F,S,1,13109.1,N,63,22.38,0,40.48,0,Auto,Budget,Standard,62.87,1,T
109,M,S,1,92647.5,N,56,16.04,5.74,10.34,0,CC,Budget,Standard,32.13,4,T
110,F,S,2,21021.6,Y,63,1,0,11.19,0,CC,Budget,Standard,14.95,3,T
111,M,S,0,74460.7,Y,55,25.53,0.99,179.93,0,CC,FreeLocal,Standard,206.46,2,T
114,F,S,2,28787.4,N,42,27.97,0,58.09,0,Auto,Budget,Standard,86.06,2,T
117,M,M,1,13091.6,N,59,22.79,0,20.26,0,CC,Budget,Intnl_discount,43.06,2,T
120,F,M,2,62061.8,Y,46,29.86,0,52.22,0,Auto,FreeLocal,Standard,82.08,2,T
121,F,M,1,20550.9,Y,22,27.72,0.86,57.06,0,CC,Budget,Standard,85.64,3,T
124,M,M,2,1765.41,N,19,3.04,0,44.95,0,CC,FreeLocal,Standard,47.99,4,T
127,F,S,2,19131.1,N,56,22.15,0,34.91,0,Auto,Budget,Standard,57.07,2,T
130,F,S,2,83073.7,N,40,0,0,3.2,0,CC,Budget,Standard,3.2,4,T
133,M,M,2,42750.3,Y,50,20.59,1.97,112.4,0,Auto,Budget,Intnl_discount,134.97,1,T
135,F,S,2,2842.55,N,46,0,0,0.79,0,Auto,Budget,Intnl_discount,0.79,2,T
136,M,M,2,22358.1,N,53,15.54,1.52,12.19,0,CC,Budget,Standard,29.25,1,T
138,M,M,0,47870.8,Y,27,2,1.17,12.48,0,CC,FreeLocal,Standard,13.82,2,T
139,F,S,2,6440.46,Y,53,22.66,0,27.2,0,CH,Budget,Standard,49.86,1,T
140,F,S,0,7325.5,N,37,28.52,0,161.54,0,CC,FreeLocal,Intnl_discount,190.06,2,T
142,M,M,2,28766.9,N,47,6.11,0,58.08,0,CC,Budget,Standard,64.2,1,T
148,M,M,2,91272.2,Y,25,26.99,0,13.01,0,CC,FreeLocal,Standard,40,3,T
154,M,S,0,65000,Y,46,11.63,9.7,115.66,1,Auto,FreeLocal,Intnl_discount,137,4,T
158,M,M,2,1406.05,Y,19,11.55,0,15.17,0,CC,Budget,Standard,26.72,1,T
160,F,S,0,73228.3,N,62,22.47,0,28.11,0,Auto,Budget,Standard,50.58,4,T
161,F,S,2,76231.9,N,64,2.01,0,150.75,0,Auto,FreeLocal,Standard,152.76,2,T
166,M,M,1,64792.3,N,52,13.05,1.51,36.84,0,CH,FreeLocal,Standard,51.41,3,T
169,F,S,0,93322.1,Y,40,29.92,0,8.79,0,CH,Budget,Intnl_discount,38.72,1,T
